    горад Віцебск
    вёска Варахобкі, Бешанковіцкі сельсавет
    вёска Галыні, Бешанковіцкі сельсавет
    вёска Галькі, Бешанковіцкі сельсавет
    вёска Ганчарова 1, Бешанковіцкі сельсавет
    вёска Ганчарова 2, Бешанковіцкі сельсавет
    вёска Гаўрыліна, Бешанковіцкі сельсавет
    вёска Давыдкавічы, Бешанковіцкі сельсавет
    вёска Доўгае, Бешанковіцкі сельсавет
    вёска Дразды, Бешанковіцкі сельсавет
    вёска Жарабікова, Бешанковіцкі сельсавет
    вёска Жахоўшчына, Бешанковіцкі сельсавет
    вёска Забар'е, Бешанковіцкі сельсавет
    вёска Залужжа, Бешанковіцкі сельсавет
    вёска Заполле, Бешанковіцкі сельсавет
    вёска Ільягова, Бешанковіцкі сельсавет
    вёска Камоскі, Бешанковіцкі сельсавет
    вёска Касарэўшчына, Бешанковіцкі сельсавет
    вёска Лабачова, Бешанковіцкі сельсавет
    вёска Ліцвякі, Бешанковіцкі сельсавет
    вёска Лукашоўка, Бешанковіцкі сельсавет
    вёска Мамойкі, Бешанковіцкі сельсавет
    вёска Новае Вадапоева, Бешанковіцкі сельсавет
    вёска Папкі, Бешанковіцкі сельсавет
    вёска Папоўшчына, Бешанковіцкі сельсавет
    вёска Паручнікі, Бешанковіцкі сельсавет
    вёска Пяцігарск, Бешанковіцкі сельсавет
    вёска Радзюкі, Бешанковіцкі сельсавет
    вёска Сасняны, Бешанковіцкі сельсавет
    вёска Свяча, Бешанковіцкі сельсавет
    вёска Сенькаўшчына, Бешанковіцкі сельсавет
    вёска Слабодка, Бешанковіцкі сельсавет
    вёска Старое Вадапоева, Бешанковіцкі сельсавет
    вёска Стрыжава, Бешанковіцкі сельсавет
    вёска Траяны, Бешанковіцкі сельсавет
    вёска Трубіліна, Бешанковіцкі сельсавет
    вёска Філіпінкі, Бешанковіцкі сельсавет
    вёска Чаўнышкі, Бешанковіцкі сельсавет
    вёска Шышова, Бешанковіцкі сельсавет
    вёска Янаўшчына, Бешанковіцкі сельсавет
    вёска Азёркі, Верхнякрывінскі сельсавет
    вёска Асавец, Верхнякрывінскі сельсавет
    вёска Асінаўка, Верхнякрывінскі сельсавет
    вёска Бараўцы, Верхнякрывінскі сельсавет
    вёска Бікложа, Верхнякрывінскі сельсавет
    вёска Буднікі, Верхнякрывінскі сельсавет
    вёска Верхняе Крывіна, Верхнякрывінскі сельсавет
    вёска Галыні, Верхнякрывінскі сельсавет
    вёска Ганкавічы, Верхнякрывінскі сельсавет
    вёска Гарбачы, Верхнякрывінскі сельсавет
    вёска Гракава, Верхнякрывінскі сельсавет
    вёска Дабрыгоры, Верхнякрывінскі сельсавет
    вёска Двурэчча, Верхнякрывінскі сельсавет
    вёска Дубкі, Верхнякрывінскі сельсавет
    вёска Дубраўка, Верхнякрывінскі сельсавет
    вёска Елішава, Верхнякрывінскі сельсавет
    вёска Забор'е, Верхнякрывінскі сельсавет
    вёска Заграддзе, Верхнякрывінскі сельсавет
    вёска Застарынне, Верхнякрывінскі сельсавет
    вёска Заходна, Верхнякрывінскі сельсавет
    вёска Казінае Сяло, Верхнякрывінскі сельсавет
    вёска Карабова, Верхнякрывінскі сельсавет
    вёска Кошчава, Верхнякрывінскі сельсавет
    вёска Красныя Буднікі, Верхнякрывінскі сельсавет
    вёска Крывіна, Верхнякрывінскі сельсавет
    вёска Крывое Сяло, Верхнякрывінскі сельсавет
    вёска Лапы, Верхнякрывінскі сельсавет
    вёска Макаравічы, Верхнякрывінскі сельсавет
    вёска Малыя Галыні, Верхнякрывінскі сельсавет
